away_team,home_team,overunder
Lions,Chiefs,54 (-110/-110)
Cardinals,Commanders,38.5 (-110/-110)
Panthers,Falcons,40 (-110/-110)
Bengals,Browns,47.5 (-110/-110)
Texans,Ravens,44 (-110/-110)
Jaguars,Colts,45 (-110/-110)
49ers,Steelers,41 (-110/-110)
Buccaneers,Vikings,45.5 (-110/-110)
Titans,Saints,41 (-110/-110)
Packers,Bears,44 (-110/-110)
Rams,Seahawks,47 (-110/-110)
Raiders,Broncos,44 (-110/-110)
Dolphins,Chargers,51 (-110/-110)
Eagles,Patriots,45 (-110/-110)
Cowboys,Giants,46.5 (-110/-110)
Bills,Jets,46.5 (-110/-110)
Vikings,Eagles,48.5 (-110/-110)
Ravens,Bengals,47.5 (-110/-110)
Bears,Buccaneers,44 (-110/-110)
Packers,Falcons,41 (-110/-110)
Colts,Texans,41 (-110/-110)
Chiefs,Jaguars,50 (-110/-110)
Chargers,Titans,46.5 (-110/-110)
Raiders,Bills,47.5 (-110/-110)
Seahawks,Lions,51.5 (-110/-110)
Giants,Cardinals,38 (-110/-110)
49ers,Rams,42.5 (-110/-110)
Jets,Cowboys,46.5 (-110/-110)
Commanders,Broncos,41.5 (-110/-110)
Dolphins,Patriots,45 (-110/-110)
Saints,Panthers,42.5 (-110/-110)
Browns,Steelers,43.5 (-110/-110)
Falcons,Lions,45.5 (-110/-110)
Bills,Commanders,44.5 (-110/-110)
Broncos,Dolphins,45.5 (-110/-110)
Texans,Jaguars,45.5 (-110/-110)
Colts,Ravens,44.5 (-110/-110)
Chargers,Vikings,49.5 (-110/-110)
Patriots,Jets,38 (-110/-110)
Saints,Packers,43 (-110/-110)
Titans,Browns,41.5 (-110/-110)
Panthers,Seahawks,42.5 (-110/-110)
Bears,Chiefs,49.5 (-110/-110)
Cowboys,Cardinals,42.5 (-110/-110)
Steelers,Raiders,44.5 (-110/-110)
Eagles,Buccaneers,45.5 (-110/-110)
Rams,Bengals,46.5 (-110/-110)
Lions,Packers,46.5 (-110/-110)
Falcons,Jaguars,45.5 (-110/-110)
Ravens,Browns,44.5 (-110/-110)
Bengals,Titans,44 (-110/-110)
Broncos,Bears,44.5 (-110/-110)
Rams,Colts,45 (-110/-110)
Dolphins,Bills,49.5 (-110/-110)
Vikings,Panthers,44.5 (-110/-110)
Steelers,Texans,40.5 (-110/-110)
Buccaneers,Saints,41 (-110/-110)
Commanders,Eagles,44.5 (-110/-110)
Raiders,Chargers,49.5 (-110/-110)
Cardinals,49ers,41 (-110/-110)
Patriots,Cowboys,42.5 (-110/-110)
Chiefs,Jets,45 (-110/-110)
Seahawks,Giants,45 (-110/-110)
Jaguars,Bills,47.5 (-110/-110)
Ravens,Steelers,41.5 (-110/-110)
Panthers,Lions,43.5 (-110/-110)
Texans,Falcons,41.5 (-110/-110)
Saints,Patriots,40.5 (-110/-110)
Giants,Dolphins,49.5 (-110/-110)
Titans,Colts,42.5 (-110/-110)
Bengals,Cardinals,42.5 (-110/-110)
Eagles,Rams,46.5 (-110/-110)
Chiefs,Vikings,52 (-110/-110)
Jets,Broncos,40 (-110/-110)
Cowboys,49ers,45.5 (-110/-110)
Packers,Raiders,43.5 (-110/-110)
Broncos,Chiefs,51.5 (-110/-110)
Ravens,Titans,41 (-110/-110)
Panthers,Dolphins,46.5 (-110/-110)
Colts,Jaguars,45.5 (-110/-110)
Vikings,Bears,48.5 (-110/-110)
Saints,Texans,40.5 (-110/-110)
Seahawks,Bengals,44 (-110/-110)
49ers,Browns,41.5 (-110/-110)
Commanders,Falcons,42 (-110/-110)
Patriots,Raiders,42.5 (-110/-110)
Cardinals,Rams,46.5 (-110/-110)
Lions,Buccaneers,45.5 (-110/-110)
Eagles,Jets,42.5 (-110/-110)
Giants,Bills,48 (-110/-110)
Cowboys,Chargers,47.5 (-110/-110)
Jaguars,Saints,42.5 (-110/-110)
Falcons,Buccaneers,40.5 (-110/-110)
Bills,Patriots,43.5 (-110/-110)
Browns,Colts,42.5 (-110/-110)
Lions,Ravens,44.5 (-110/-110)
Raiders,Bears,46.5 (-110/-110)
Commanders,Giants,42 (-110/-110)
Cardinals,Seahawks,46.5 (-110/-110)
Steelers,Rams,42.5 (-110/-110)
Packers,Broncos,45.5 (-110/-110)
Chargers,Chiefs,52 (-110/-110)
Dolphins,Eagles,53.5 (-110/-110)
49ers,Vikings,45.5 (-110/-110)
Falcons,Titans,35.5 (-110/-110)
Texans,Panthers,43.5 (-110/-110)
Jaguars,Steelers,41 (-110/-110)
Rams,Cowboys,45.5 (-110/-110)
Vikings,Packers,42 (-110/-110)
Patriots,Dolphins,47 (-110/-110)
Saints,Colts,43.5 (-110/-110)
Jets,Giants,36.5 (-110/-110)
Eagles,Commanders,43.5 (-110/-110)
Browns,Seahawks,38 (-110/-110)
Ravens,Cardinals,44.5 (-110/-110)
Bengals,49ers,43.5 (-110/-110)
Chiefs,Broncos,47 (-110/-110)
Bears,Chargers,46.5 (-110/-110)
Raiders,Lions,46 (-110/-110)
Dolphins,Chiefs,51 (-110/-110)
Vikings,Falcons,37 (-110/-110)
Cardinals,Browns,37.5 (-110/-110)
Rams,Packers,38.5 (-110/-110)
Commanders,Patriots,40.5 (-110/-110)
Bears,Saints,41 (-110/-110)
Seahawks,Ravens,44 (-110/-110)
Buccaneers,Texans,40 (-110/-110)
Colts,Panthers,44 (-110/-110)
Giants,Raiders,37 (-110/-110)
Cowboys,Eagles,47 (-110/-110)
Bills,Bengals,49.5 (-110/-110)
Chargers,Jets,40 (-110/-110)
Colts,Patriots,43 (-110/-110)
Browns,Ravens,38 (-110/-110)
Packers,Steelers,39 (-110/-110)
Titans,Buccaneers,39 (-110/-110)
49ers,Jaguars,45 (-110/-110)
Saints,Vikings,41 (-110/-110)
Texans,Bengals,47 (-110/-110)
Falcons,Cardinals,43 (-110/-110)
Lions,Chargers,48.5 (-110/-110)
Giants,Cowboys,39 (-110/-110)
Commanders,Seahawks,44.5 (-110/-110)
Jets,Raiders,36.5 (-110/-110)
Broncos,Bills,46.5 (-110/-110)
Bengals,Ravens,46 (-110/-110)
Steelers,Browns,34 (-110/-110)
Bears,Lions,47.5 (-110/-110)
Chargers,Packers,44 (-110/-110)
Raiders,Dolphins,46.5 (-110/-110)
Giants,Commanders,37 (-110/-110)
Cowboys,Panthers,42 (-110/-110)
Titans,Jaguars,40 (-110/-110)
Cardinals,Texans,47.5 (-110/-110)
Buccaneers,49ers,41.5 (-110/-110)
Jets,Bills,40 (-110/-110)
Seahawks,Rams,46 (-110/-110)
Vikings,Broncos,43 (-110/-110)
Eagles,Chiefs,45.5 (-110/-110)
Patriots,Giants,34 (-110/-110)
Panthers,Titans,36.5 (-110/-110)
Jaguars,Texans,47.5 (-110/-110)
Buccaneers,Colts,44.5 (-110/-110)
Saints,Falcons,41.5 (-110/-110)
Steelers,Bengals,35.5 (-110/-110)
Browns,Broncos,36 (-110/-110)
Rams,Cardinals,45 (-110/-110)
Bills,Eagles,48.5 (-110/-110)
Chiefs,Raiders,43 (-110/-110)
Ravens,Chargers,48 (-110/-110)
Bears,Vikings,43 (-110/-110)
Seahawks,Cowboys,46 (-110/-110)
Colts,Titans,43 (-110/-110)
Chargers,Patriots,40.5 (-110/-110)
Lions,Saints,44.5 (-110/-110)
Falcons,Jets,36.5 (-110/-110)
Cardinals,Steelers,40 (-110/-110)
Dolphins,Commanders,50 (-110/-110)
Broncos,Texans,46.5 (-110/-110)
Panthers,Buccaneers,37 (-110/-110)
Browns,Rams,39.5 (-110/-110)
49ers,Eagles,46.5 (-110/-110)
Chiefs,Packers,42 (-110/-110)
Bengals,Jaguars,38.5 (-110/-110)
Buccaneers,Falcons,41 (-110/-110)
Lions,Bears,43 (-110/-110)
Colts,Bengals,44 (-110/-110)
Jaguars,Browns,32.5 (-110/-110)
Panthers,Saints,38 (-110/-110)
Texans,Jets,33 (-110/-110)
Rams,Ravens,40 (-110/-110)
Vikings,Raiders,40.5 (-110/-110)
Seahawks,49ers,46.5 (-110/-110)
Bills,Chiefs,48.5 (-110/-110)
Broncos,Chargers,44 (-110/-110)
Eagles,Cowboys,52 (-110/-110)
Titans,Dolphins,46.5 (-110/-110)
Packers,Giants,36.5 (-110/-110)
Vikings,Bengals,40.5(-110/-110)
Steelers,Colts,42.5(-110/-110)
Broncos,Lions,48 (-115/-105)
Buccaneers,Packers,42.5 (-110/-110)
Giants,Saints,39 (-110/-110)
Falcons,Panthers,33.5 (-115/-105)
Texans,Titans,37 (-110/-110)
Jets,Dolphins,37 (-110/-110)
Bears,Browns,38 (-110/-110)
Chiefs,Patriots,37 (-115/-105)
Commanders,Rams,50.5 (-110/-110)
49ers,Cardinals,48 (-105/-115)
Cowboys,Bills,50 (-115/-105)
Ravens,Jaguars,43 (-110/-110)
Eagles,Seahawks,48.5 (-110/-110)
Saints,Rams,44.5 (-110/-110)
Bengals,Steelers,38 (-110/-110)
Bills,Chargers,42.5 (-110/-110)
Colts,Falcons,44.5 (-110/-110)
Browns,Texans,42 (-110/-110)
Packers,Panthers,36 (-110/-110)
Seahawks,Titans,42.5 (-110/-110)
Lions,Vikings,47 (-110/-110)
Commanders,Jets,38 (-110/-110)
Jaguars,Buccaneers,44.5 (-110/-110)
Cardinals,Bears,44.5 (-110/-110)
Cowboys,Dolphins,51 (-110/-110)
Patriots,Broncos,36.5 (-110/-110)
Raiders,Chiefs,43 (-110/-110)
Giants,Eagles,43.5 (-110/-110)
Ravens,49ers,45.5 (-110/-110)
Jets,Browns,35.5 (-110/-110)
Lions,Cowboys,50.5 (-110/-110)
49ers,Commanders,48 (-110/-110)
Panthers,Jaguars,39.5 (-110/-110)
Falcons,Bears,37.5 (-110/-110)
Rams,Giants,41 (-110/-110)
Raiders,Colts,44 (-110/-110)
Patriots,Bills,40 (-110/-110)
Dolphins,Ravens,46.5 (-110/-110)
Cardinals,Eagles,47.5 (-110/-110)
Saints,Buccaneers,41.5 (-110/-110)
Titans,Texans,43 (-110/-110)
Steelers,Seahawks,41 (-110/-110)
Chargers,Broncos,38 (-110/-110)
Bengals,Chiefs,45.5 (-110/-110)
Packers,Vikings,43.5 (-110/-110)
